#Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity
NGC0628 , M74SNRJ013642400+1544163 , 24.17666666666667 , 15.73786111111111 , 2450.13904696686 , 1798.00193904955 , Unclassified , 0.35310355
NGC0628 , PS15blm , 24.258708333333335 , 15.777000000000001 , 1253.8697326978763 , 2391.66186884759 , Unclassified , 6.3913784
NGC0628 , SN2002ap , 24.09937916666667 , 15.753669444444444 , 3577.4210468967017 , 2037.470947756881 , Ic , -0.17532486
NGC0628 , SN2003gd , 24.17770833333333 , 15.739138888888888 , 2434.9505648694476 , 1817.369414243681 , II , -0.12983386
NGC0628 , SN2013ej , 24.200670833333334 , 15.758611111111112 , 2100.1343887503876 , 2112.55973726534 , II , 0.09700711
NGC0628 , SN2019krl , 24.2067875 , 15.77946388888889 , 2011.0536442066714 , 2428.5985142409477 , IIn/LBV , 2.2089531
NGC1087 , SN1995V , 41.61154166666667 , -0.49878055555555556 , 648.5505421656521 , 748.0751125890881 , II , 5.0002465
NGC1300 , LSQ14dtr , 49.96679166666666 , -19.478694444444443 , 841.190251571016 , 472.6653386793862 , Ia , -0.06859025
NGC1365 , SN1957C , 53.38349999999999 , -36.11770833333333 , 3250.4029666345923 , 3374.662468105187 , Unclassified , 2.834359
NGC1365 , SN1983V , 53.38192083333333 , -36.148580555555554 , 3270.0796929140615 , 2906.7780980507987 , II , 11.953729
NGC1365 , SN2001du , 53.371249999999996 , -36.142 , 3400.610028004022 , 3006.6009602140175 , IIP , 0.82873183
NGC1365 , SN2012fr , 53.39995833333333 , -36.12713888888889 , 3049.0333831792045 , 3231.5656161742586 , Ia , 0.47282246
NGC1433 , SN1985P , 55.526500000000006 , -47.21 , 1351.5752267277321 , 1741.227453891624 , II , 0.76288545
NGC1512 , SN2010iv , 60.967620833333335 , -43.42736111111111 , 2213.9889026335923 , 933.5173674181681 , Ia , -0.29800403
NGC1566 , ASASSN-14ha , 65.0058875 , -54.93807777777778 , 1784.358147614364 , 1820.201410151274 , II , 6.804637
NGC1566 , SN2010el , 64.99512083333333 , -54.94403055555555 , 1878.2380174576456 , 1730.1515783964455 , Ia-pec , 1.4372302
NGC1566 , SN2021aefx , 64.9725 , -54.94808055555555 , 2075.2196425618836 , 1669.0683910992518 , Ia , 0.17611548
NGC1672 , SN2017gax , 71.45625 , -59.24513888888889 , 1324.207873684942 , 1582.3767965336629 , Ib/c , 6.7046223
NGC1672 , SN2022aau , 71.423975 , -59.245383333333336 , 1574.3412665865403 , 1579.2423154401126 , II , 34.885303
NGC2997 , SN2003jg , 146.40795833333334 , -31.189169444444445 , 2632.084925672426 , 2613.942196752042 , Ib/c , 3.7025084
NGC2997 , SN2008eh , 146.45066666666668 , -31.17913888888889 , 2078.341721532657 , 2765.5633254974205 , Unclassified , 5.7194624
