Galaxy,Supernova,Type,Ra,Dec,MUSERes,MUSENatMap,MUSE150pcMap,MUSE150pcInt,InSample
NGC4254,SN1986I,II,184.717,14.412330555555556,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits,5149.969053599883,True
NGC4254,SN2014L,Ic,184.70282916666667,14.412080555555557,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits,11056.83048441882,True
NGC4303,SN1926A,II,185.47536458333335,4.493354166666666,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,810.8031791539183,True
NGC4303,SN1961I,II,185.50182916666668,4.470361111111111,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,3020.0137560279272,True
NGC4303,SN1964F,II,185.4698125,4.473770833333334,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,253.67922934189994,True
NGC4303,SN1999gn,II,185.48757916666665,4.462669444444445,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,13072.412027543538,True
NGC4303,SN2006ov,II,185.48042083333334,4.4879694444444445,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,2688.935931726846,True
NGC4303,SN2014dt,Ia-pec,185.48987083333333,4.471811111111111,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,570.8896032793936,True
NGC4303,SN2020jfo,II,185.46033333333332,4.481680555555556,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits,863.2385711128578,True
NGC4321,SN1901B,I,185.6970833333333,15.82375,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits,755.2585628327931,True
NGC4321,SN1959E,I,185.74543194444445,15.816989814814816,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits,1310.7929124372315,True
NGC4321,SN2006X,Ia,185.72495833333335,15.80918888888889,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits,210.9499577249596,True
NGC4321,SN2019ehk,Ib,185.73395833333333,15.826119444444444,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits,247.36641705290754,True
NGC4321,SN2020oi,Ic,185.72887500000002,15.823599999999999,1.16,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits,/data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits,17099.471871628837,True
