#Galaxy,Supernova,Type,Ra,Dec,MUSERes,MUSENatMap,MUSE150pcMap, MUSE150pcInt
NGC3627 , SN2016cok , II P , 170.07957933333336 , 12.98244948888889 , 1.05 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC3627-150pc_MAPS.fits , 1731.367827556123
NGC4254 , SN1967H , II , 184.71836111111114 , 14.41404861111111 , 0.89 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits , 3424.8032209831545
NGC4254 , SN1972Q , II , 184.71066666666667 , 14.44432638888889 , 0.89 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits , 1597.1279821389421
NGC4254 , SN1986I , II , 184.71690625 , 14.412266111111112 , 0.89 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits , 4098.8667227786045
NGC4254 , SN2014L , Ic , 184.70291666666668 , 14.412069444444445 , 0.89 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4254-150pc_MAPS.fits , 11490.532045150616
NGC4303 , SN1926A , II , 185.47536458333335 , 4.493354166666666 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 810.8031791539183
NGC4303 , SN1961I , II , 185.50184583333336 , 4.47037962962963 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 3033.946401082417
NGC4303 , SN1964F , II , 185.4698125 , 4.473770833333334 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 253.67922934189994
NGC4303 , SN1999gn , II P , 185.48760972222217 , 4.462676851851852 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 13072.412027543538
NGC4303 , SN2006ov , II , 185.48041875 , 4.487970833333334 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 2688.935931726846
NGC4303 , SN2014dt , Ia Pec , 185.48991666666666 , 4.471777777777778 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 651.9700753247237
NGC4303 , SN2020jfo , II P , 185.46016458333332 , 4.481692777777778 , 0.78 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4303-150pc_MAPS.fits , 778.7494382940001
NGC4321 , PTSS-19clju , Unclassified , 185.73407 , 15.826055 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 222.3275830717548
NGC4321 , SN1901B , I , 185.6970833333333 , 15.82375 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 755.2585628327931
NGC4321 , SN1959E , I , 185.74543194444445 , 15.816989814814816 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 1310.7929124372315
NGC4321 , SN1979C , II , 185.74422222222222 , 15.797765277777778 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , nan
NGC4321 , SN2006X , Ia , 185.72488194444443 , 15.809006481481482 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 203.43808384956603
NGC4321 , SN2019ehk , Ib , 185.73393055555553 , 15.826070370370369 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 237.82316161258927
NGC4321 , SN2020oi , Ic , 185.72892708333336 , 15.8236125 , 1.16 , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/copt/NGC4321-1.16asec_MAPS.fits , /data/fourier/sun.1608/PHANGS/MUSE/DR2.2/MUSEDAP/150pc/NGC4321-150pc_MAPS.fits , 19032.486243820913
