Galaxy,Supernova,Ra,Dec,ESO_xCoord,ESO_yCoord,Type,ESO_Intensity,MUSE_xCoord,MUSE_yCoord,MUSE_Intensity,ESO-MPG_Hasub_wcomb_corr,MUSEResolution,MUSEmap,Removed,InMuseSample
NGC1566,SN2021aefx,64.9725,-54.94808055555555,2075.2196425618836,1669.0683910992518,Ia,0.17611548,753.5891791208549,263.22228039750394,99.65209663041514,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1566_Hasub_flux_corrs.fits,0.8,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits,False,True
NGC1566,ASASSN-14ha,65.0058875,-54.93807777777778,1784.358147614364,1820.201410151274,II,6.804637,408.4277260277734,443.3346781401191,2555.621138465285,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1566_Hasub_flux_corrs.fits,0.8,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1566-0.80asec_MAPS.fits,False,True
NGC1672,SN2017gax,71.45625,-59.24513888888889,1324.207873684942,1582.3767965336629,Ib/c,6.7046223,349.3134555293737,356.93608581753824,22499.259941719523,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1672_Hasub_flux_corrs.fits,0.96,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1672-0.96asec_MAPS.fits,False,True
NGC1672,SN2022aau,71.423975,-59.245383333333336,1574.3412665865403,1579.2423154401126,II,34.885303,646.3902024699867,352.51811454011585,13053.931693481181,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC1672_Hasub_flux_corrs.fits,0.96,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC1672-0.96asec_MAPS.fits,False,True
NGC2997,SN2003jg,146.40795833333334,-31.189169444444445,2632.084925672426,2613.942196752042,Ib/c,3.7025084,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC2997_Hasub_flux_corrs.fits,,,False,False
NGC2997,SN2008eh,146.45066666666668,-31.17913888888889,2078.341721532657,2765.5633254974205,Unclassified,5.7194624,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC2997_Hasub_flux_corrs.fits,,,False,False
NGC3351,SN2012aw,160.974,11.671638888888888,2068.1296963787145,1335.9723903305558,IIP,1.063044,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3351_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3351-1.05asec_MAPS.fits,False,False
NGC3627,AT2020cwh,170.08333333333334,12.990277777777777,2283.522151515239,2572.384298028684,Candidate,1.3143904,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,True,False
NGC3627,SN2016cok,170.07930416666667,12.9824,2342.9969222955438,2452.964895130431,IIP,5.1747403,40.050838267726704,611.728125673097,2082.960964471447,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,False,True
NGC3627,SN2009hd,170.07067083333334,12.979611111111112,2470.496586596828,2410.661628390363,II,20.483955,191.47904492589095,561.526664789739,12727.755531715775,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,False,True
NGC3627,SN1973R,170.04791666666668,12.996388888888887,2806.6036825609663,2664.8964078174404,II,3.7350528,590.5602963470693,863.5473992102412,2329.997555301794,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,False,True
NGC3627,SN1997bs,170.05937916666667,12.972111111111111,2637.24842406897,2296.9491213847027,IIn,1.2553923,389.54298897603815,426.5324798197609,506.6085098282141,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,True,False
NGC3627,SN1989B,170.0579166666667,13.005277777777778,2658.942402469414,2799.64940091512,Ia,10.138262,415.1619405276391,1023.5339091676506,5846.648209552237,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC3627_Hasub_flux_corrs.fits,1.05,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC3627-1.05asec_MAPS.fits,False,True
NGC4254,SN2014L,184.70282916666667,14.412080555555557,1326.7904286866649,1203.1566973444424,Ic,14.049492,654.9403031908839,396.53574258458934,8604.178904782875,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4254_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,False,True
NGC4254,SN1986I,184.717,14.412330555555556,1118.7756506250282,1207.0160816786793,II,3.8358066,407.8923939955308,401.03158056154064,3641.9045499156464,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4254_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,False,True
NGC4254,SN1967H,184.71836111111114,14.41404861111111,1098.8053468831708,1233.0626416018913,II,4.683056,384.16403203686525,431.95698142915336,3269.1013084182046,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4254_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,False,True
NGC4254,SN1972Q,184.71066666666667,14.44432638888889,1211.9077300925737,1691.9176842311322,II,2.6499472,518.296948155805,976.9566086465038,1588.343437618811,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4254_Hasub_flux_corrs.fits,0.89,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4254-0.89asec_MAPS.fits,False,True
NGC4293,CSS140424:122130+181827,185.37375,18.307583333333334,560.036113983268,436.3317315670049,Unclassified,0.33938006,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4293_Hasub_flux_corrs.fits,,,False,False
NGC4298,SN1986E,185.42187916666666,14.632030555555556,439.9141905514325,1350.8644254064584,II,1.174969,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4298_Hasub_flux_corrs.fits,,,False,False
NGC4303,SN2008in,185.50737916666668,4.479861111111111,1305.3353845948884,1828.301034974898,II,-0.030165413,,,,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,False
NGC4303,SN2020jfo,185.46033333333332,4.481680555555556,2016.215129626005,1855.8256496684944,II,2.8193429,782.177858788193,592.514486842171,1151.901667862701,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
NGC4303,SN1961I,185.50182916666668,4.470361111111111,1389.1842666351422,1684.3038590322176,II,3.7050424,37.53026308677522,388.7667435435302,2072.686626440796,/home/maykerchen.1/Desktop/SNeHaLargeData/HaSUB_wcomb_corr/NGC4303_Hasub_flux_corrs.fits,0.78,/data/fourier/sun.1608/PHANGS/MUSE/DR2.1/MUSEDAP/copt/NGC4303-0.78asec_MAPS.fits,False,True
